year,month,month_name,station_id,station_name,rainfall_mm,rainy_days,max_daily_mm,extreme_events_50mm,data_source,notes
2023,11,novembro,open-meteo,Open-Meteo Sao Luis,39.4,25,4.2,0,open-meteo,
2023,12,dezembro,open-meteo,Open-Meteo Sao Luis,137.3,28,20.3,0,open-meteo,
2024,1,janeiro,open-meteo,Open-Meteo Sao Luis,229.2,30,41.9,0,open-meteo,
2024,2,fevereiro,open-meteo,Open-Meteo Sao Luis,410.4,29,44.2,0,open-meteo,
2024,3,marco,open-meteo,Open-Meteo Sao Luis,590.0,31,106.0,1,open-meteo,
2024,4,abril,open-meteo,Open-Meteo Sao Luis,486.7,30,52.2,1,open-meteo,
2024,5,maio,open-meteo,Open-Meteo Sao Luis,194.3,29,24.5,0,open-meteo,
2024,6,junho,open-meteo,Open-Meteo Sao Luis,87.9,27,14.7,0,open-meteo,
2024,7,julho,open-meteo,Open-Meteo Sao Luis,30.0,21,8.0,0,open-meteo,
2024,8,agosto,open-meteo,Open-Meteo Sao Luis,28.1,24,5.4,0,open-meteo,
2024,9,setembro,open-meteo,Open-Meteo Sao Luis,19.4,21,4.2,0,open-meteo,
2024,10,outubro,open-meteo,Open-Meteo Sao Luis,27.7,19,3.8,0,open-meteo,
2024,11,novembro,open-meteo,Open-Meteo Sao Luis,39.5,23,6.0,0,open-meteo,
2024,12,dezembro,open-meteo,Open-Meteo Sao Luis,89.9,30,13.8,0,open-meteo,
